x,c,OCV
0.863745376265842,0.00013625462373415798,4.378452358250699
0.8534731065429628,0.00014652689345703718,4.342689200860444
0.8303604996664847,0.00016963950033351528,4.275384169209255
0.8021117579285671,0.00019788824207143285,4.235696616238664
0.7738630161906495,0.00022613698380935055,4.205717910416136
0.7456142744527318,0.00025438572554726825,4.179410066531061
0.7173655327148142,0.00028263446728518584,4.147697898126959
0.6891167909768965,0.00031088320902310354,4.112620772946859
0.6608680492389788,0.00033913195076102124,4.072241291634883
0.6326193075010612,0.0003673806924989388,4.035226767098906
0.6043705657631435,0.0003956294342368565,3.993429925205525
0.5761218240252259,0.00042387817597477407,3.963288069963556
0.5478730822873082,0.00045212691771269177,3.930403265107212
0.5196243405493906,0.00048037565945060947,3.894102519281295
0.4913755988114729,0.000508624401188527,3.858311615391134
0.4631268570735553,0.0005368731429264448,3.8345529811848458
0.4348781153356376,0.0005651218846643624,3.811610094075769
0.40662937359772,0.0005933706264022801,3.7926439740655984
0.3783806318598023,0.0006216193681401977,3.777654621154335
0.3501318901218846,0.0006498681098781153,3.764806604373252
0.321883148383967,0.000678116851616033,3.752570397915077
0.2936344066460493,0.0007063655933539507,3.740640096618357
0.2653856649081316,0.0007346143350918684,3.729627510806
0.237136923170214,0.0007628630768297859,3.718920830155097
0.2088881814322964,0.0007911118185677037,3.709437770150013
0.1806394396943787,0.0008193605603056213,3.6993428998220175
0.152390697956461,0.000847609302043539,3.691083460462752
0.1241419562185434,0.0008758580437814566,3.6828240211034826
0.0958932144806258,0.0009041067855193742,3.673646866259852
0.0676444727427081,0.0009323555272572919,3.665387426900584
0.0393957310047904,0.0009606042689952096,3.654986651411136
0.0111469892668728,0.000988853010733127,3.629596523010424
0.003347280334728,0.000996652719665272,3.5679824561403506
0.0008747195439936,0.0009991252804560063,3.363076651093313
0.0008368200836819,0.0009991631799163181,3.451754385964912
0.0,0.001,3.2579217518433765
